[2026-07-01 07:57:35] ALLOWED | msedge.exe | 172.20.10.2:60054 -> 40.99.8.226:443
[2026-07-01 07:57:35] ALLOWED | msedge.exe | 172.20.10.2:61681 -> 40.99.8.226:443
[2026-07-01 07:57:35] ALLOWED | msedge.exe | 172.20.10.2:60056 -> 92.223.76.254:80
[2026-07-01 07:57:35] ALLOWED | Code.exe | 172.20.10.2:61679 -> 20.184.175.17:443
[2026-07-01 07:57:38] ALLOWED | AcPowerNotification.exe | 127.0.0.1:59530 -> 127.0.0.1:1042
[2026-07-01 07:57:41] ALLOWED | msedge.exe | 172.20.10.2:51788 -> 40.99.8.226:443
[2026-07-01 07:57:41] ALLOWED | msedge.exe | 172.20.10.2:65465 -> 13.107.246.48:443
[2026-07-01 07:57:41] ALLOWED | msedge.exe | 172.20.10.2:65442 -> 150.171.27.11:443
[2026-07-01 07:57:50] ALLOWED | AcPowerNotification.exe | 127.0.0.1:51789 -> 127.0.0.1:1042
[2026-07-01 07:57:50] ALLOWED | taskhostw.exe | 172.20.10.2:51790 -> 135.234.160.244:443
[2026-07-01 07:57:53] ALLOWED | taskhostw.exe | 172.20.10.2:51791 -> 92.223.76.254:80
[2026-07-01 07:57:56] ALLOWED | System Idle Process | 172.20.10.2:50465 -> 172.20.10.1:53
[2026-07-01 07:57:56] ALLOWED | chrome.exe | 172.20.10.2:60394 -> 192.178.177.17:443
[2026-07-01 07:57:56] ALLOWED | Code.exe | 172.20.10.2:60395 -> 20.184.175.17:443
[2026-07-01 07:57:59] ALLOWED | svchost.exe | 172.20.10.2:60396 -> 92.223.76.254:80
[2026-07-01 07:57:59] ALLOWED | Code.exe | 172.20.10.2:60397 -> 140.82.114.21:443
[2026-07-01 07:58:05] ALLOWED | Code.exe | 172.20.10.2:60399 -> 172.67.213.245:443
[2026-07-01 07:58:05] ALLOWED | Code.exe | 172.20.10.2:60400 -> 20.184.175.17:443
[2026-07-01 07:58:12] ALLOWED | FileCoAuth.exe | 172.20.10.2:55296 -> 13.69.109.130:443
[2026-07-01 07:58:12] ALLOWED | FileCoAuth.exe | 172.20.10.2:55297 -> 92.223.76.254:80
[2026-07-01 07:58:15] ALLOWED | FileCoAuth.exe | 172.20.10.2:55299 -> 13.69.109.130:443
[2026-07-01 07:58:18] ALLOWED | FileCoAuth.exe | 172.20.10.2:55300 -> 92.223.76.254:80
[2026-07-01 07:58:21] ALLOWED | System Idle Process | 172.20.10.2:51790 -> 135.234.160.244:443
[2026-07-01 07:58:21] ALLOWED | svchost.exe | 172.20.10.2:55301 -> 92.223.76.254:80
[2026-07-01 07:58:30] ALLOWED | Code.exe | 172.20.10.2:49809 -> 20.184.175.17:443
[2026-07-01 07:58:36] ALLOWED | System Idle Process | 172.20.10.2:59002 -> 172.20.10.1:53
[2026-07-01 07:58:39] ALLOWED | Unknown | 172.20.10.2:55299 -> 13.69.109.130:443
[2026-07-01 07:58:39] ALLOWED | Unknown | 172.20.10.2:55296 -> 13.69.109.130:443
[2026-07-01 07:59:00] ALLOWED | Code.exe | 172.20.10.2:49363 -> 13.107.213.68:443
[2026-07-01 07:59:00] ALLOWED | AcPowerNotification.exe | 127.0.0.1:55282 -> 127.0.0.1:1042
[2026-07-01 07:59:06] ALLOWED | Code.exe | 172.20.10.2:49364 -> 172.67.213.245:443
[2026-07-01 07:59:12] ALLOWED | AcPowerNotification.exe | 127.0.0.1:49365 -> 127.0.0.1:1042
[2026-07-01 07:59:12] ALLOWED | Code.exe | 172.20.10.2:49366 -> 13.89.179.14:443
[2026-07-01 07:59:18] ALLOWED | OneDrive.Sync.Service.exe | 172.20.10.2:49369 -> 13.69.109.130:443
[2026-07-01 07:59:18] ALLOWED | OneDrive.Sync.Service.exe | 172.20.10.2:49367 -> 13.69.109.130:443
[2026-07-01 07:59:18] ALLOWED | OneDrive.Sync.Service.exe | 172.20.10.2:49368 -> 167.82.62.172:80
[2026-07-01 07:59:24] ALLOWED | AcPowerNotification.exe | 127.0.0.1:49370 -> 127.0.0.1:1042
